loài_gặm_nhấm cá_dẹp
chuột chim_cu_cu
cá_vược chim_ưng_biển
khỉ_mũi_hẹp chó
cá_pecca gấu
con_vịt động_vật_ăn_côn_trùng
Bộ_Mười_chân bố
động_vật_làm_việc_nặng cá_giếc
Bọ_ngựa côn_trùng_cánh_thẳng
loài_người báo_vằn
động_vật_ăn_thịt voi_biển
thú_túi linh_miêu
chó sếu
mèo bò_đực
bươm_bướm ngoé
họ_cá_chép heo_nhà
thú_non tê_tê
thú_guốc_chẵn động_vật_móng_guốc_ngón_lẻ
mèo chim_bồ_nông
hoét_nước chó_biển
ruồi_xanh chim_gõ_kiến
động_vật_hai_mảnh_vỏ chim_gõ_kiến
động_vật_nhai_lại gà_trống_choai
động_vật_ruột_khoang tê_giác
động_vật_chân_khớp bồ_câu_nhà
côn_trùng_cánh_vảy gia_súc_bố
ruồi cá_chình_Bắc_Mĩ
động_vật_có_nhau_thai con_hùm
huơu_nai ngựa_đực_con
chó bộ_móng_vuốt_đực
báo_hoa_mai bố
thú_có_nhau chim_hồng_hạc
gà_trống heo_rừng
mèo con_trống
mèo heo_nái
loài_nhai_lại họ_Lâm_oanh
thờn_bơn chim_choi_choi
động_vật gà_tây
cá_hồi động_vật_chân_guốc_lẻ
vượn_người_lớn chồn_zibelin
chim_lội_suối giẽ_giun
con_mái động_vật_có_nhau
giáp_xác_mười_chân vẹt_xanh
heo sán_dẹt
cá_blennioid lợn_nuôi
Bộ_Mười_chân khỉ_guenon
bộ_đà_điểu bướm_ngày
động_vật_có_vú_và_nhau_thai hươu_đốm
động_vật_chân_màng linh_cẩu
chó_nghiệp_vụ choắt
thú_có_móng_guốc ong_vẽ
côn_trùng chó_kiểng
vàng_anh_Mĩ cừu
cá_dẹt chim_chiền_chiện
động_vật_chân_khớp sẻ
chim_cút rận_cua
con_cha gunnel
móng_guốc_đực con_huowu_chuột
động_vật_có_nhau giòi
chim_họ_sẻ thu
mèo_lớn cá_chình_Bắc_Mĩ
gà_sống chim_hải_âu_petrel
động_vật_có_chân_vây hải_âu_petrel
ấu_trùng_bọ con_mòng
lợn chuột_bào_thai
sâu_bọ chồn_Martes_Bắc_Mĩ
vàng_anh_Mĩ hải_âu_petrel
chim_coraciiform chó_nhà
bộ_Cá_vây_tia mèo
bọ_chét cò
động_vật_có_nhau_thai lợn_sữa
bộ_Guốc_chẵn heo_thịt
động_vật_có_vú_và_nhau_thai cóc_bụng_lửa
vật_nuôi con_sứa
động_vật_chân_vây bồ_nông_biển
con_vịt Falco_sparverius
động_vật_chân_guốc_chẵn chó_hoang
chó_nghiệp_vụ rận
thú_guốc_chẵn cá_thờn_bơn
cá_dẹt cóc_bụng_lửa
động_vật_đực ếch_nhái
chét loài_người
họ_động_vật_nhai_lại choắt
động_vật_chân_guốc_chẵn động_vật_gặm_nhấm_hai_cặp_răng_cửa
động_vật_có_ruột_khoang cún_con
côn_trùng_cánh_thẳng chim_cốc
con_mèo vàng_anh_Mĩ
chép heo_sữa
con_đực cá_thờn_bơn_mắt_phải
chuột_nâu chim_ó_cá
côn_trùng_cánh_thẳng san_hô
bươm_bướm con_lợn
chim_biển rận_lông_mu
thú_non Melopsittacus_undulatus
choi_choi con_quạ
động_vật căng-gu-ru
côn_trùng gà_nước
chó_nghiệp_vụ whiff
dẽ linh_trưởng_thuộc_họ_Người
động_vật_có_nhau_thai bọ_chét
động_vật_nhai_lại cá_bơn_đại_dương
động_vật_có_vú_non hải_miên
rùa bộ_Guốc_chẵn
vịt ngựa
côn_trùng_cánh_cứng côn_trùng_thể_mạng
động_vật_chân_màng Elateridae
côn_trùng_cánh_giống lợn_lòi
động_vật lợn_non
động_vật_thân_mềm_chân_bụng loài_ăn_sâu_bọ
lợn choi_choi
thú_có_túi con_đỉa_trâu
thú_có_nhau cá_chó_nhỏ
choi_choi ruồi_lằng
động_vật_đực hươu_đốm
chét khỉ_lớn_hình_người
rô tuần_lộc
loài_nhai_lại lợn_hoang
động_vật_giáp_xác_mười_chân cún_con
Thằn_lằn gà_nước
thằn_lằn sâu_bọ
thú_guốc_chẵn sếu
chuột_bao bò_rừng_bizon
giun_nhiều_tơ mẹ
động_vật_bò_sát họ_Cà_kheo
lợn bơn_Nam_Mỹ
lợn_non thờn_bơn
mèo Struthio_camelus
cá_vược Saturnia_pavonia
chồn_mactet chuột_chũi
chim khỉ
động_vật_linh_trưởng diệc_ăn_đêm
bò_sát chuột_chũi
chồn động_vật_linh_trưởng
động_vật_chân_bụng khỉ_trán_trắng
động_vật_thân_mềm bướm_hoàng_đế
bộ_Guốc_chẵn cá_thờn_bơn_mắt_phải
cá_bơn giun_kim
thằn_lằn hải_cẩu
cá_vây_gai con_cò
động_vật_có_dây_sống chồn
cá_vây_tia bộ_móng_vuốt_đực
bướm_ngày cua
bướm_đêm bắp_cày
động_vật_thân_giáp chim_gõ
ve chúa
vật_nuôi lợn_bột
choi_choi chồn
linh_trưởng_họ_Người khủng_long
ngựa báo_đen
con_bố gõ_kiến_Bắc_Mĩ
thằn_lằn_gai chim_lội_suối
tôm_hùm Pholis_gunnellus
larid bọ_bổ_củi
bươm_bướm khỉ_không_đuôi
họ_Bọ_ngựa rận_lông_mu
cá_dẹp hồng_hạc
thỏ cá_thu
chim_hoét ốc
chim_sẻ chuột_cống_kăng-ga-ru
cá_mập căng-gu-ru
gà bộ_Guốc_chẵn
choi_choi hồng_y
cá_thu_Nhật chim_yến
động_vật_nhai_lại ngựa_đực_non
bộ_móng_vuốt_đực con_thú_cha
côn_trùng hươu_chuột
chồn_mác-tét họ_Lội_suối
chim_bồ_nông_biển động_vật_móng_guốc
động_vật_không_xương_sống chim_cà_kheo
cá_chó_nhỏ chuột_bào_thai
thú_có_nhau bò_bizon
bồ_nông_biển mòng_biển_lưng_đen
dẽ chim_công
mèo_mactet chim_để_săn_bắt
động_vật chó_pug
trăn Oncorhynchus_keta
thú_túi động_vật_da_gai
động_vật_vỏ_giáp giun_tròn
côn_trùng bào_ngư
hoét_nước con_thỏ_rừng
chấy dơi
con_bố con_đỉa
con_bố khỉ_lớn_hình_người
thú_có_nhau heo
gõ_kiến ễnh_ương
chim_coraciiform con_cheo_cheo
cá_vược chim_lạc_đà
thú_có_nhau Panthera_onca
động_vật_nhai_lại thú_non
họ_chó Saturnia_pavonia
tôm_hùm chình_Bắc_Mỹ
động_vật_có_vú bổ_củi
con_cá_chép thú_non
vịt điệp
sâu_bọ gà_mái_ghẹ
bộ_Guốc_chẵn con_cạc
ong_bắp_cày chim_ưng_biển
Bọ_ngựa con_dơi
động_vật cá_bơn_đại_dương
thú_có_nhau cá_thu
động_vật_chân_guốc_chẵn côn_trùng_cánh_màng
thờn_bơn chim_choắt_rừng
heo_con voi_biển
mèo_rừng cừu_tơ
thờn_bơn_mắt_phải chim_choắt_mỏ_nhác
nhái bò_rừng_bizon
diều_hâu chim_cà_kheo
bò mái
động_vật_có_vú_chưa_trưởng_thành chó_vô_chủ
cá_chép_họ_Cá_mõm_trâu ong_chúa
ong_vò_vẽ chó_chăn_cừu
loài_không_xương_sống chi_chuột_hai_chân
chim bộ_Cá_vây_tia
chim_lội_nước rết
gà ngoé
lợn_nhà chó_bốc_sơ
chó_nuôi động_vật_gặm_nhấm_hai_cặp_răng_cửa
cá_thu_Nhật con_dế
chim_xa_bờ con_đỉa_trâu
bồ_nông_biển bò_sát_không_cung
chó_nghiệp_vụ chim_biết_hót
cá_vược chó_vô_chủ
blennioid đầu
động_vật_thuần_hoá chim_dơi
mòng_bể chồn_mác-tét
động_vật_da_dày khỉ_mõm_chó
cá_vược ngựa_đực_non
chim_săn_mồi chét
động_vật_đào_bới con_nòng_nọc
chim_họ_quạ cá_mú
động_vật chim_cụt_cánh
cá_bơn Inachis_io
cá_lờn_bơn rận_lông_mu
động_vật_có_nhau sói
cá_thu_Nhật_Bản whiff
chồn_mác-tét ngựa_kéo
họ_Bổ_củi đỉa_biển
con_cạc chúa
đỉa_biển hùm
chim_nước cua
choi_choi rái_cá
cá_heo chim_săn_mồi
bơn_mắt_phải loài_nhai_lại
bò_sát_có_hai_hố_thái_dương động_vật_đào_bới
lợn_sữa chó_chăn_cừu
động_vật_chân_bụng động_vật_có_vú
con_đỉa tôm_hùm_nước_mặn
thú_nuôi ngựa_đực
côn_trùng_thể_mạng giòi
động_vật_có_nhau_thai chích_bông
bướm_đêm muỗi
động_vật_thuần_hoá con_chấy
heo_non Pediculus_corporis
chó_nghiệp_vụ diệc_ăn_đêm
côn_trùng động_vật_móng_guốc_ngón_lẻ
chí căng-gu-ru
côn_trùng_hai_cánh động_vật_dạng_bốn_chân
gà_trống con_mòng
mèo_lớn chim_choi_choi
Cá_xương_thật báo_sư_tử
động_vật_dây_sống bướm_bà
ngoé hồng_hạc
động_vật voi
choi_choi cá_gunnal
động_vật_có_nhau_thai rùa_táp_thường
con_cá_chép cóc_lửa
trăn lù_đù
con_chúa báo_sư_tử
họ_chó choi_choi
thú_mỏ_vịt chồn_Martes
gia_cầm muôm_muỗm
chó gia_súc_bố
cá_họ_Chép bướm_bà
cuculiform rận_cua
loài_nhai_lại mèo_nuôi
ngựa con_thú_bố
chim_choi_choi con_cá_rô_chó
động_vật_có_nhau gà_mái_tơ
